year,decade,unique_words,density,unique_words_raw,density_raw,nouns,verbs,adjectives,syllables,most_used_term,most_used_freq,curses,total_curses,reading_score,sentiment,charted
1963,1960,57,78,91,193,42,58,11,100,bust,9,0,0,4.03398963731,0.0258,1
1963,1960,67,157,104,356,74,118,21,115,got,20,0,0,4.85179775281,0.9698,1
1963,1960,35,57,59,135,26,34,8,65,love,10,0,0,2.43148148148,0.9952,1
1963,1960,60,164,97,303,46,86,19,105,hey,25,0,0,4.34910891089,0.9712,1
1963,1960,34,104,51,189,42,50,17,56,la,12,0,0,1.4162962963,0.9739,1
1963,1960,45,58,72,131,33,24,11,83,dream,10,0,0,4.22633587786,0.9545,1
1963,1960,53,98,85,193,48,48,11,93,yeah,14,0,0,3.60601036269,0.991,1
1963,1960,44,148,70,263,105,51,10,77,joy,25,0,0,2.93475285171,0.9996,1
1964,1960,33,90,58,213,47,44,23,63,want,17,0,0,1.80014084507,0.9947,1
1964,1960,20,42,41,116,26,20,4,45,kiss,4,0,0,0.937586206897,0.9517,1
1964,1960,69,290,105,543,121,160,40,106,love,33,0,0,7.24349907919,0.9995,1
1964,1960,19,106,33,245,27,86,9,37,got,30,0,0,0.872040816327,0.9584,1
1964,1960,59,120,87,239,57,76,13,93,lovin,22,0,0,3.29163179916,-0.6705,1
1964,1960,19,76,41,172,28,38,4,38,love,15,0,0,0.136976744186,0.9983,1
1964,1960,52,112,80,203,65,49,3,88,woman,19,0,0,3.42527093596,0.9864,1
1964,1960,39,75,75,217,24,56,7,81,sunshin,10,0,0,2.71460829493,0.9913,1
1964,1960,39,81,70,154,27,36,10,80,think,9,0,0,3.26987012987,0.8126,1
1964,1960,35,59,63,187,34,33,6,75,sun,4,0,0,2.65262032086,0.9828,1
1964,1960,51,124,87,255,51,64,23,96,needl,14,0,0,3.53235294118,0.9153,1
1964,1960,33,106,64,233,59,52,14,68,love,16,0,0,2.14377682403,0.9904,1
1964,1960,42,87,70,164,29,37,9,84,know,8,0,0,3.57390243902,0.967,1
1964,1960,29,41,56,124,19,37,6,63,love,5,0,0,2.74516129032,0.9871,1
